2023-08-29 21:51:21
加入收藏 javascript:void(0)
设为首页 javascript:void(0)
去校首页 /
本站首页 /Category_31/Index.aspx
单位概况 /Category_294/Index.aspx
专业设置 /Category_775/Index.aspx
新闻动态 /Category_295/Index.aspx
通知公告 /Category_296/Index.aspx
办公文件 /Category_297/Index.aspx
文件下载 /Category_298/Index.aspx
课程思政 /Category_1282/Index.aspx
教学名师 /Category_319/Index.aspx
网络教学 https://kc.hljit.edu.cn
新工科建设 /Category_1111/Index.aspx
黑龙江工程学院 http://www.hljit.edu.cn
教务处 /Category_31/Index.aspx
文件下载 /Category_298/Index.aspx
高级搜索 /Search/AdvSearch.aspx
全文检索 /Search/Default.aspx
教务科 /Category_601/Index.aspx
考务科 /Category_602/Index.aspx
实践教学科 /Category_603/Index.aspx
教研科 /Category_604/Index.aspx
教材综合科 /Category_605/Index.aspx
信息管理科 /Category_606/Index.aspx
教务科  /Category_601/Index.aspx
 /Category_601/Index.aspx
大学外语换选语种申请表 /Htmlfiles/jwc/wjxz/jwk/2022/09/15/88440.html
黑龙江工程学院教学计划、人才培养方案审批单 /Htmlfiles/jwc/wjxz/jwk/2018/05/15/74752.html
黑龙江工程学院教师手册（试行） /Htmlfiles/jwc/wjxz/jwk/2014/12/31/17895.html
黑龙江工程学院课程教学方式方法改革申请表 /Htmlfiles/jwc/wjxz/jwk/2013/06/03/10177.html
黑龙江工程学院授课计划课程基本信息、教学内容与进度… /Htmlfiles/jwc/wjxz/jwk/2012/09/24/6765.html
黑龙江工程学院新教师开课审批表 /Htmlfiles/jwc/wjxz/jwk/2012/09/24/6763.html
黑龙江工程学院精品课程录播教室使用申请表 /Htmlfiles/jwc/wjxz/jwk/2012/09/24/6762.html
黑龙江工程学院课程安排调整申请表 /Htmlfiles/jwc/wjxz/jwk/2012/09/24/6761.html
考务科  /Category_602/Index.aspx
 /Category_602/Index.aspx
理论课重（补）修申请表 /Htmlfiles/jwc/wjxz/kwk/2020/08/17/79570.html
考试课平时综合成绩报告表 /Htmlfiles/jwc/wjxz/kwk/2016/07/01/24221.html
黑龙江工程学院证件丢失申请参加考试证明 /Htmlfiles/jwc/wjxz/kwk/2015/12/03/22341.html
黑龙江工程学院任课教师取消学生考试资格申请表 /Htmlfiles/jwc/wjxz/kwk/2015/12/02/22334.html
学 生 缓 考 审 批 表 /Htmlfiles/jwc/wjxz/kwk/2012/09/11/1983.html
考场情况记录单 /Htmlfiles/jwc/wjxz/kwk/2012/09/11/1972.html
考查课综合成绩报告表 /Htmlfiles/jwc/wjxz/kwk/2012/09/11/1969.html
黑龙江工程学院试卷成绩分析表 /Htmlfiles/jwc/wjxz/kwk/2012/09/11/1964.html
实践教学科  /Category_603/Index.aspx
 /Category_603/Index.aspx
纸质成绩单报告单---新版 /Htmlfiles/jwc/wjxz/sjjxk/2022/09/23/88794.html
实验课程表 /Htmlfiles/jwc/wjxz/sjjxk/2022/09/23/88793.html
实习总结及经费结算表 /Htmlfiles/jwc/wjxz/sjjxk/2022/09/23/88792.html
实习计划及经费预算申请表 /Htmlfiles/jwc/wjxz/sjjxk/2022/09/23/88791.html
实践课重修（补做）申请表 /Htmlfiles/jwc/wjxz/sjjxk/2022/09/23/88790.html
实践课补做汇总表 /Htmlfiles/jwc/wjxz/sjjxk/2022/09/23/88789.html
集中实践教学任务登记表 /Htmlfiles/jwc/wjxz/sjjxk/2022/09/23/88788.html
黑龙江工程学院-毕业设计（论文）管理系统简易版操作… /Htmlfiles/jwc/wjxz/sjjxk/2022/09/23/88787.html
教研科  /Category_604/Index.aspx
 /Category_604/Index.aspx
关于对“十一五”期间质量工程建设情况进行总结的通知 /Htmlfiles/jwc/wjxz/jyk/2012/09/13/2438.html
黑龙江工程学院课程建设项目合同书 /Htmlfiles/jwc/wjxz/jyk/2012/09/13/2444.html
黑龙江工程学院综合教育学分管理办法（试行） /Htmlfiles/jwc/wjxz/jyk/2012/09/13/2445.html
黑龙江工程学院综合教育学分有关申请表格(总计2个) /Htmlfiles/jwc/wjxz/jyk/2012/09/13/2450.html
新增专业申报表格(总计2个) /Htmlfiles/jwc/wjxz/jyk/2012/09/13/2452.html
2008年教育部双语教学申报相关表格(总计3个) /Htmlfiles/jwc/wjxz/jyk/2012/09/13/2453.html
黑龙江工程学院重点专业申报书 /Htmlfiles/jwc/wjxz/jyk/2012/09/13/2454.html
黑龙江工程学院各期教学简报 /Htmlfiles/jwc/wjxz/jyk/2012/09/13/2455.html
教材综合科  /Category_605/Index.aspx
 /Category_605/Index.aspx
黑龙江工程学院教材选用统计表 /Htmlfiles/jwc/wjxz/jczhk/2012/09/12/2251.html
自编教材选用申请表 /Htmlfiles/jwc/wjxz/jczhk/2012/09/12/2247.html
自编讲义选用申请表 /Htmlfiles/jwc/wjxz/jczhk/2012/09/12/2234.html
黑龙江工程学院教务处处长接待日登记表 /Htmlfiles/jwc/wjxz/jczhk/2012/09/12/2230.html
信息管理科  /Category_606/Index.aspx
 /Category_606/Index.aspx
学籍异动申请表（保留入学资格、复学、退学、休学、自… /Htmlfiles/jwc/wjxz/xxglk/2023/03/23/90553.html
学信网信息修改申请（在校生） /Htmlfiles/jwc/wjxz/xxglk/2023/03/23/90552.html
学信网信息勘误申请（已毕业学生使用） /Htmlfiles/jwc/wjxz/xxglk/2023/03/23/90551.html
证书领取申请审批表-当年未发证 /Htmlfiles/jwc/wjxz/xxglk/2023/03/23/90550.html
黑龙江工程学院本科生转专业申请确认表 /Htmlfiles/jwc/wjxz/xxglk/2023/02/10/90178.html
黑龙江工程学院网络教学平台使用申请表 /Htmlfiles/jwc/wjxz/xxglk/2019/09/30/77947.html
自主学习慕课学分转换申请表 /Htmlfiles/jwc/wjxz/xxglk/2015/08/27/21224.html
慕课平台使用手册 /Htmlfiles/jwc/wjxz/xxglk/2015/04/15/18572.html
联系我们 javascript:void(0)
版权声明 /Category_8/Index.aspx
关于我们 javascript:void(0)
管理指南 /Item/1066.aspx
管理登录 http://www.hljit.edu.cn/Admin_Power/login.aspx
